"","pollster","date_start","date_median","date_end","mode","sample_size","sample_space","percent_biden","percent_trump","state_abb","state_full"
"1439","Morning Consult",2020-07-17,2020-07-21,2020-07-26,"Internet",1320,"LV",52,42,"MI","Michigan"
"1440","Redfield & Wilton Strategies",2020-07-19,2020-07-21,2020-07-24,"Internet",811,"LV",49,37,"MI","Michigan"
"1441","Gravis Marketing",2020-07-22,2020-07-22,2020-07-22,"IVR/Internet",754,"LV",51,42,"MI","Michigan"
"1442","CBS/YouGov",2020-07-21,2020-07-22,2020-07-24,"Internet",1156,"RV",48,42,"MI","Michigan"
"1443","Change Research",2020-07-24,2020-07-25,2020-07-26,"Internet",413,"LV",46,42,"MI","Michigan"
"1444","EPIC-MRA",2020-07-25,2020-07-27,2020-07-30,"Live Phone",600,"LV",51,40,"MI","Michigan"
"1445","Public Policy Polling",2020-07-28,2020-07-28,2020-07-29,"IVR",876,"V",49,43,"MI","Michigan"
"1446","YouGov",2020-07-27,2020-08-01,2020-08-06,"Internet",761,"RV",47,43,"MI","Michigan"
"1447","GQR Research",2020-07-30,2020-08-01,2020-08-04,"Live Phone",1245,"LV",52,43,"MI","Michigan"
"1448","Change Research",2020-08-07,2020-08-08,2020-08-09,"Internet",413,"LV",48,43,"MI","Michigan"
"1449","Morning Consult",2020-08-07,2020-08-11,2020-08-16,"Internet",1212,"LV",50,44,"MI","Michigan"
"1450","Hodas & Associates",2020-08-11,2020-08-13,2020-08-15,"Live Phone",600,"LV",52,41,"MI","Michigan"
"1451","Civiqs",2020-08-13,2020-08-15,2020-08-17,"Internet",631,"RV",49,46,"MI","Michigan"
"1452","SurveyMonkey",2020-08-01,2020-08-16,2020-08-31,"Internet",2962,"LV",49,48,"MI","Michigan"
"1453","SurveyMonkey",2020-08-01,2020-08-16,2020-08-31,"Internet",3744,"RV",49,47,"MI","Michigan"
"1454","Redfield & Wilton Strategies",2020-08-16,2020-08-17,2020-08-18,"Internet",812,"LV",50,38,"MI","Michigan"
"1455","Trafalgar Group",2020-08-14,2020-08-18,2020-08-23,"Internet",1048,"LV",45,47,"MI","Michigan"
"1456","Change Research",2020-08-21,2020-08-22,2020-08-23,"Internet",809,"LV",50,44,"MI","Michigan"
"1457","Morning Consult",2020-08-21,2020-08-25,2020-08-30,"Internet",1424,"LV",52,42,"MI","Michigan"
"1458","Public Policy Polling",2020-08-28,2020-08-28,2020-08-29,"IVR",897,"V",48,44,"MI","Michigan"
"1459","Opinion Insight",2020-08-30,2020-08-31,2020-09-02,"Live Phone",800,"LV",50,44,"MI","Michigan"
"1460","Redfield & Wilton Strategies",2020-08-30,2020-09-01,2020-09-03,"Internet",967,"LV",51,40,"MI","Michigan"
"1461","Glengariff Group",2020-09-01,2020-09-02,2020-09-03,"Live Phone",600,"LV",47,42,"MI","Michigan"
"1462","Benenson Strategy Group/GS Strategy Group",2020-08-28,2020-09-02,2020-09-08,"Internet",1600,"LV",50,43,"MI","Michigan"
"1463","Morning Consult",2020-08-29,2020-09-02,2020-09-07,"Internet",1455,"LV",52,42,"MI","Michigan"
"1464","Rasmussen Reports/Pulse Opinion Research",2020-09-02,2020-09-02,2020-09-03,"IVR/Internet",1000,"LV",53,44,"MI","Michigan"
"1465","Change Research",2020-09-04,2020-09-05,2020-09-06,"Internet",876,"LV",49,43,"MI","Michigan"
"1466","SurveyMonkey",2020-09-01,2020-09-11,2020-09-21,"Internet",1984,"RV",53,43,"MI","Michigan"
"1467","EPIC-MRA",2020-09-10,2020-09-12,2020-09-15,"Live Phone",600,"LV",48,40,"MI","Michigan"
"1468","Civiqs",2020-09-11,2020-09-13,2020-09-15,"Internet",517,"RV",53,42,"MI","Michigan"
"1469","Redfield & Wilton Strategies",2020-09-12,2020-09-13,2020-09-14,"Internet",930,"LV",49,39,"MI","Michigan"
"1470","Ipsos",2020-09-11,2020-09-13,2020-09-16,"Internet",637,"LV",49,44,"MI","Michigan"
"1471","Baldwin Wallace University (Great Lakes Poll)",2020-09-08,2020-09-15,2020-09-22,"Internet",1001,"LV",50,42,"MI","Michigan"
"1472","SurveyMonkey",2020-09-01,2020-09-15,2020-09-30,"Internet",3297,"LV",53,44,"MI","Michigan"
"1473","YouGov",2020-09-10,2020-09-15,2020-09-21,"Internet",641,"LV",51,45,"MI","Michigan"
"1474","Data for Progress",2020-09-14,2020-09-16,2020-09-19,"Internet",455,"LV",50,44,"MI","Michigan"
"1475","Marketing Resource Group",2020-09-14,2020-09-16,2020-09-19,"Live Phone",600,"LV",46,41,"MI","Michigan"
"1476","Hart Research Associates",2020-09-17,2020-09-18,2020-09-19,"Internet",400,"LV",50,45,"MI","Michigan"
"1477","Change Research",2020-09-18,2020-09-19,2020-09-20,"Internet",568,"LV",51,43,"MI","Michigan"
"1478","ALG Research",2020-09-17,2020-09-20,2020-09-23,"Internet",800,"LV",52,44,"MI","Michigan"
"1479","Marist College",2020-09-19,2020-09-21,2020-09-23,"Live Phone",799,"LV",52,44,"MI","Michigan"
"1480","Trafalgar Group",2020-09-20,2020-09-21,2020-09-22,"IVR",1015,"LV",46,47,"MI","Michigan"
"1481","Redfield & Wilton Strategies",2020-09-23,2020-09-24,2020-09-26,"Internet",785,"LV",51,42,"MI","Michigan"
"1482","Trafalgar Group",2020-09-26,2020-09-27,2020-09-28,"IVR",1042,"LV",49,47,"MI","Michigan"
"1483","SurveyMonkey",2020-09-15,2020-09-28,2020-10-12,"Internet",4656,"LV",51,46,"MI","Michigan"
"1484","Public Policy Polling",2020-09-30,2020-09-30,2020-10-01,"IVR",476,"V",50,44,"MI","Michigan"
"1485","Glengariff Group",2020-09-30,2020-10-01,2020-10-03,"Live Phone",600,"LV",48,39,"MI","Michigan"
"1486","Ipsos",2020-09-29,2020-10-02,2020-10-06,"Internet",709,"LV",51,43,"MI","Michigan"
"1487","Change Research",2020-10-02,2020-10-03,2020-10-04,"Internet",676,"LV",51,43,"MI","Michigan"
"1488","Baldwin Wallace University (Great Lakes Poll)",2020-09-30,2020-10-04,2020-10-08,"Internet",1134,"LV",50,43,"MI","Michigan"
"1489","Opinion Insight",2020-10-03,2020-10-04,2020-10-06,"Live Phone",800,"LV",51,42,"MI","Michigan"
"1490","Redfield & Wilton Strategies",2020-10-04,2020-10-05,2020-10-06,"Internet",700,"LV",50,42,"MI","Michigan"
"1491","Emerson College",2020-10-06,2020-10-06,2020-10-07,"IVR/Internet",716,"LV",54,43,"MI","Michigan"
"1492","Morning Consult",2020-10-02,2020-10-06,2020-10-11,"Internet",1710,"LV",51,44,"MI","Michigan"
"1493","YouGov",2020-10-06,2020-10-07,2020-10-09,"Internet",1190,"LV",52,46,"MI","Michigan"
"1494","Siena College/The New York Times Upshot",2020-10-06,2020-10-08,2020-10-11,"Live Phone",614,"LV",48,40,"MI","Michigan"
"1495","Civiqs",2020-10-08,2020-10-09,2020-10-11,"Internet",543,"LV",52,43,"MI","Michigan"
"1496","Redfield & Wilton Strategies",2020-10-09,2020-10-09,2020-10-10,"Internet",827,"LV",51,41,"MI","Michigan"
"1497","EPIC-MRA",2020-10-08,2020-10-10,2020-10-12,"Live Phone",600,"LV",48,39,"MI","Michigan"
"1498","Ipsos",2020-10-07,2020-10-10,2020-10-13,"Internet",620,"LV",51,43,"MI","Michigan"
"1499","BRMG Research",2020-10-08,2020-10-10,2020-10-13,"IVR/Internet",800,"LV",48,42,"MI","Michigan"
"1500","Redfield & Wilton Strategies",2020-10-10,2020-10-11,2020-10-13,"Internet",972,"LV",51,42,"MI","Michigan"
"1501","Trafalgar Group",2020-10-11,2020-10-12,2020-10-14,"IVR",1025,"LV",46,47,"MI","Michigan"
"1502","HarrisX",2020-10-12,2020-10-13,2020-10-15,"Internet",1289,"LV",54,43,"MI","Michigan"
"1503","Zia Poll",2020-10-11,2020-10-14,2020-10-18,"Live Phone",2851,"LV",45,49,"MI","Michigan"
"1504","Morning Consult",2020-10-11,2020-10-15,2020-10-20,"Internet",1717,"LV",52,44,"MI","Michigan"
"1505","Data for Progress",2020-10-15,2020-10-16,2020-10-18,"Internet",830,"LV",50,45,"MI","Michigan"
"1506","EPIC-MRA",2020-10-15,2020-10-17,2020-10-19,"Live Phone",600,"LV",48,39,"MI","Michigan"
"1507","Ipsos",2020-10-14,2020-10-17,2020-10-20,"Internet",686,"LV",51,44,"MI","Michigan"
"1508","YouGov",2020-10-13,2020-10-17,2020-10-21,"Internet",681,"LV",52,42,"MI","Michigan"
"1509","Change Research",2020-10-16,2020-10-17,2020-10-19,"Internet",718,"LV",51,44,"MI","Michigan"
"1510","Mitchell Research & Communications",2020-10-18,2020-10-18,2020-10-18,"IVR/Live Phone",900,"LV",51,41,"MI","Michigan"
"1511","Citizen Data",2020-10-17,2020-10-18,2020-10-20,"IVR/Internet",1000,"LV",50,41,"MI","Michigan"
"1512","Fox News",2020-10-17,2020-10-18,2020-10-20,"Live Phone",1032,"LV",52,40,"MI","Michigan"
"1513","Kiaer Research",2020-10-21,2020-10-21,2020-10-28,"IVR/Internet",669,"LV",54,41,"MI","Michigan"
"1514","Public Policy Polling",2020-10-21,2020-10-21,2020-10-22,"IVR",804,"V",50,43,"MI","Michigan"
"1515","ABC News/The Washington Post",2020-10-20,2020-10-22,2020-10-25,"Live Phone",789,"LV",51,44,"MI","Michigan"
"1516","Ipsos",2020-10-20,2020-10-23,2020-10-26,"Internet",652,"LV",52,43,"MI","Michigan"
"1517","Glengariff Group",2020-10-23,2020-10-24,2020-10-25,"Live Phone",600,"LV",49,42,"MI","Michigan"
"1518","Gravis Marketing",2020-10-24,2020-10-24,2020-10-24,"IVR/Internet",679,"LV",55,42,"MI","Michigan"
"1519","Kiaer Research",2020-10-21,2020-10-24,2020-10-28,"IVR/Internet",669,"LV",54,41,"MI","Michigan"
"1520","Siena College/The New York Times Upshot",2020-10-23,2020-10-24,2020-10-26,"Live Phone",856,"LV",49,41,"MI","Michigan"
"1521","Swayable",2020-10-23,2020-10-24,2020-10-26,"Internet",394,"RV",59,40,"MI","Michigan"
"1522","Wick",2020-10-24,2020-10-24,2020-10-25,"IVR",1000,"LV",48,48,"MI","Michigan"
"1523","Mitchell Research & Communications",2020-10-25,2020-10-26,2020-10-27,"IVR/Live Phone",759,"LV",52,42,"MI","Michigan"
"1524","SurveyMonkey",2020-10-20,2020-10-26,2020-11-01,"Internet",3976,"LV",52,46,"MI","Michigan"
"1525","CNN/SSRS",2020-10-23,2020-10-26,2020-10-30,"Live Phone",907,"LV",53,41,"MI","Michigan"
"1526","EPIC-MRA",2020-10-25,2020-10-26,2020-10-28,"Live Phone",600,"LV",48,41,"MI","Michigan"
"1527","Morning Consult",2020-10-22,2020-10-26,2020-10-31,"Internet",1736,"LV",52,45,"MI","Michigan"
"1528","Trafalgar Group",2020-10-25,2020-10-26,2020-10-28,"IVR",1058,"LV",47,49,"MI","Michigan"
"1529","Redfield & Wilton Strategies",2020-10-26,2020-10-27,2020-10-29,"Internet",1212,"LV",54,45,"MI","Michigan"
"1530","Targoz Market Research",2020-10-25,2020-10-27,2020-10-30,"Internet",993,"LV",53,39,"MI","Michigan"
"1531","RMG Research",2020-10-27,2020-10-28,2020-10-29,"IVR/Internet",800,"LV",51,44,"MI","Michigan"
"1532","Mitchell Research & Communications",2020-10-29,2020-10-29,2020-10-29,"IVR/Live Phone",817,"LV",52,45,"MI","Michigan"
"1533","Ipsos",2020-10-27,2020-10-29,2020-11-01,"Internet",654,"LV",53,45,"MI","Michigan"
"1534","Public Policy Polling",2020-10-29,2020-10-29,2020-10-30,"IVR",745,"V",54,44,"MI","Michigan"
"1535","Swayable",2020-10-27,2020-10-29,2020-11-01,"Internet",413,"LV",54,45,"MI","Michigan"
"1536","Emerson College",2020-10-29,2020-10-30,2020-10-31,"IVR/Internet",700,"LV",52,46,"MI","Michigan"
"1537","AtlasIntel",2020-10-30,2020-10-30,2020-10-31,"Internet",686,"LV",48,46,"MI","Michigan"
"1538","Change Research",2020-10-29,2020-10-30,2020-11-01,"Internet",383,"LV",51,44,"MI","Michigan"
"1539","InsiderAdvantage",2020-10-30,2020-10-30,2020-10-31,"Internet",500,"LV",49,47,"MI","Michigan"
"1540","Trafalgar Group",2020-10-30,2020-10-30,2020-10-31,"IVR",1033,"LV",46,48,"MI","Michigan"
"1541","Research Co.",2020-10-31,2020-10-31,2020-11-01,"Internet",450,"LV",50,43,"MI","Michigan"
"1542","Mason-Dixon Polling & Strategy",2019-10-14,2019-10-15,2019-10-16,"Live Phone",800,"RV",50,38,"MN","Minnesota"
"1543","Morning Consult",2020-05-07,2020-05-11,2020-05-16,"Internet",600,"LV",55,38,"MN","Minnesota"
"1544","Mason-Dixon Polling & Strategy",2020-05-18,2020-05-19,2020-05-20,"Live Phone",800,"RV",49,44,"MN","Minnesota"
"1545","Morning Consult",2020-05-17,2020-05-21,2020-05-26,"Internet",647,"LV",49,42,"MN","Minnesota"
"1546","Harper Polling",2020-05-26,2020-05-27,2020-05-28,"Live Phone",510,"LV",50,42,"MN","Minnesota"
"1547","Harper Polling",2020-05-26,2020-05-27,2020-05-28,"Live Phone",510,"LV",50,42,"MN","Minnesota"
"1548","Morning Consult",2020-05-27,2020-05-31,2020-06-05,"Internet",600,"LV",48,45,"MN","Minnesota"
"1549","Gravis Marketing",2020-06-19,2020-06-19,2020-06-19,"IVR/Internet",600,"RV",58,42,"MN","Minnesota"
"1550","SurveyMonkey",2020-06-08,2020-06-19,2020-06-30,"Internet",860,"LV",57,42,"MN","Minnesota"
"1551","SurveyMonkey",2020-07-01,2020-07-16,2020-07-31,"Internet",2288,"LV",51,47,"MN","Minnesota"
"1552","Fox News",2020-07-18,2020-07-19,2020-07-20,"Live Phone",776,"RV",51,38,"MN","Minnesota"
"1553","Morning Consult",2020-07-17,2020-07-21,2020-07-26,"Internet",662,"LV",47,44,"MN","Minnesota"
"1554","Public Policy Polling",2020-07-22,2020-07-22,2020-07-23,"IVR",1218,"V",52,42,"MN","Minnesota"
"1555","Trafalgar Group",2020-07-23,2020-07-24,2020-07-25,"IVR",1129,"LV",49,44,"MN","Minnesota"
"1556","Emerson College",2020-08-08,2020-08-09,2020-08-10,"IVR/Internet",733,"LV",47,49,"MN","Minnesota"
"1557","Morning Consult",2020-08-07,2020-08-11,2020-08-16,"Internet",615,"LV",50,42,"MN","Minnesota"
"1558","SurveyMonkey",2020-08-01,2020-08-16,2020-08-31,"Internet",1939,"LV",56,43,"MN","Minnesota"
"1559","Trafalgar Group",2020-08-15,2020-08-16,2020-08-18,"IVR",1141,"LV",47,47,"MN","Minnesota"
"1560","Morning Consult",2020-08-21,2020-08-25,2020-08-30,"Internet",647,"LV",50,43,"MN","Minnesota"
"1561","Harper Polling",2020-08-30,2020-08-31,2020-09-01,"Live Phone",501,"LV",48,45,"MN","Minnesota"
"1562","Morning Consult",2020-08-29,2020-09-02,2020-09-07,"Internet",649,"LV",49,44,"MN","Minnesota"
"1563","Public Policy Polling",2020-09-03,2020-09-03,2020-09-04,"IVR",877,"V",52,44,"MN","Minnesota"
"1564","SurveyUSA",2020-09-04,2020-09-05,2020-09-07,"Internet",553,"LV",49,40,"MN","Minnesota"
"1565","Morning Consult",2020-09-04,2020-09-08,2020-09-13,"Internet",643,"LV",48,44,"MN","Minnesota"
"1566","Siena College/The New York Times Upshot",2020-09-08,2020-09-09,2020-09-10,"Live Phone",814,"LV",50,41,"MN","Minnesota"
"1567","YouGov",2020-09-09,2020-09-10,2020-09-11,"Internet",1087,"LV",50,41,"MN","Minnesota"
"1568","ABC News/The Washington Post",2020-09-08,2020-09-10,2020-09-13,"Live Phone",615,"LV",57,41,"MN","Minnesota"
"1569","Redfield & Wilton Strategies",2020-09-12,2020-09-14,2020-09-17,"Internet",718,"LV",51,42,"MN","Minnesota"
"1570","SurveyMonkey",2020-09-01,2020-09-15,2020-09-30,"Internet",2808,"LV",55,43,"MN","Minnesota"
"1571","Mason-Dixon Polling & Strategy",2020-09-21,2020-09-22,2020-09-23,"Live Phone",800,"LV",48,42,"MN","Minnesota"
"1572","Suffolk University",2020-09-20,2020-09-22,2020-09-24,"Live Phone",500,"LV",47,40,"MN","Minnesota"
"1573","SurveyMonkey",2020-09-15,2020-09-28,2020-10-12,"Internet",3525,"LV",55,43,"MN","Minnesota"
"1574","SurveyUSA",2020-10-01,2020-10-03,2020-10-06,"Internet",929,"LV",47,40,"MN","Minnesota"
"1575","Morning Consult",2020-10-02,2020-10-06,2020-10-11,"Internet",898,"LV",50,44,"MN","Minnesota"
"1576","David Binder Research",2020-10-10,2020-10-11,2020-10-13,"Internet",220,"LV",52,41,"MN","Minnesota"
"1577","Change Research",2020-10-12,2020-10-13,2020-10-15,"Internet",1021,"LV",49,44,"MN","Minnesota"
"1578","Morning Consult",2020-10-11,2020-10-15,2020-10-20,"Internet",864,"LV",51,42,"MN","Minnesota"
"1579","SurveyUSA",2020-10-16,2020-10-18,2020-10-20,"Internet",625,"LV",48,42,"MN","Minnesota"
"1580","Civiqs",2020-10-17,2020-10-18,2020-10-20,"Internet",840,"LV",53,43,"MN","Minnesota"
"1581","St. Cloud State University",2020-10-10,2020-10-19,2020-10-29,"Live Phone",372,"A",54,39,"MN","Minnesota"
"1582","Trafalgar Group",2020-10-24,2020-10-24,2020-10-25,"IVR",1065,"LV",48,45,"MN","Minnesota"
"1583","Gravis Marketing",2020-10-24,2020-10-25,2020-10-26,"IVR/Internet",657,"LV",53,39,"MN","Minnesota"
"1584","SurveyUSA",2020-10-23,2020-10-25,2020-10-27,"Internet",649,"LV",47,42,"MN","Minnesota"
"1585","SurveyMonkey",2020-10-20,2020-10-26,2020-11-01,"Internet",2727,"LV",56,42,"MN","Minnesota"
"1586","Morning Consult",2020-10-22,2020-10-26,2020-10-31,"Internet",883,"LV",52,42,"MN","Minnesota"
"1587","Swayable",2020-10-23,2020-10-27,2020-11-01,"Internet",466,"LV",53,43,"MN","Minnesota"
"1588","Targoz Market Research",2020-10-25,2020-10-27,2020-10-30,"Internet",1138,"LV",53,44,"MN","Minnesota"
"1589","Data for Progress",2020-10-27,2020-10-29,2020-11-01,"Internet",1259,"LV",51,43,"MN","Minnesota"
"1590","Public Policy Polling",2020-10-29,2020-10-29,2020-10-30,"IVR",770,"V",54,43,"MN","Minnesota"
"1591","Research Co.",2020-10-31,2020-10-31,2020-11-01,"Internet",450,"LV",52,43,"MN","Minnesota"
"1592","Remington Research Group",2019-04-10,2019-04-10,2019-04-11,"IVR",955,"LV",43,51,"MO","Missouri"
"1593","Remington Research Group",2019-09-18,2019-09-18,2019-09-19,"IVR",1046,"LV",42,53,"MO","Missouri"
"1594","American Viewpoint",2020-01-20,2020-01-21,2020-01-22,"Live Phone",1200,"LV",43,50,"MO","Missouri"
"1595","Remington Research Group",2020-02-26,2020-02-26,2020-02-27,"IVR",1050,"LV",42,52,"MO","Missouri"
"1596","We Ask America",2020-05-26,2020-05-26,2020-05-27,"IVR/Live Phone",500,"LV",44,48,"MO","Missouri"
"1597","Remington Research Group",2020-06-10,2020-06-10,2020-06-11,"IVR",1152,"LV",43,51,"MO","Missouri"
"1598","Garin-Hart-Yang Research Group",2020-06-16,2020-06-19,2020-06-22,"Internet",800,"LV",48,46,"MO","Missouri"
"1599","SurveyMonkey",2020-06-08,2020-06-19,2020-06-30,"Internet",868,"LV",47,51,"MO","Missouri"
"1600","Saint Louis University/YouGov",2020-06-23,2020-06-27,2020-07-01,"Internet",900,"LV",43,50,"MO","Missouri"
"1601","SurveyMonkey",2020-07-01,2020-07-16,2020-07-31,"Internet",2261,"LV",44,54,"MO","Missouri"
"1602","SurveyMonkey",2020-08-01,2020-08-16,2020-08-31,"Internet",1863,"LV",44,54,"MO","Missouri"
"1603","We Ask America",2020-09-01,2020-09-02,2020-09-03,"IVR/Live Phone",500,"LV",44,49,"MO","Missouri"
"1604","SurveyMonkey",2020-09-01,2020-09-15,2020-09-30,"Internet",2157,"LV",45,53,"MO","Missouri"
"1605","Remington Research Group",2020-09-16,2020-09-16,2020-09-17,"IVR",1046,"LV",45,53,"MO","Missouri"
"1606","SurveyMonkey",2020-09-15,2020-09-28,2020-10-12,"Internet",3018,"LV",45,53,"MO","Missouri"
"1607","Garin-Hart-Yang Research Group",2020-09-28,2020-09-30,2020-10-02,"Live Phone",600,"LV",48,50,"MO","Missouri"
"1608","Remington Research Group",2020-09-30,2020-09-30,2020-10-01,"IVR",980,"LV",46,51,"MO","Missouri"
"1609","YouGov",2020-09-24,2020-09-30,2020-10-07,"Internet",931,"LV",43,52,"MO","Missouri"
"1610","Remington Research Group",2020-10-14,2020-10-14,2020-10-15,"IVR",1010,"LV",45,51,"MO","Missouri"
"1611","SurveyMonkey",2020-10-20,2020-10-26,2020-11-01,"Internet",2644,"LV",44,54,"MO","Missouri"
"1612","Morning Consult",2020-10-22,2020-10-26,2020-10-31,"Internet",1109,"LV",43,52,"MO","Missouri"
"1613","Swayable",2020-10-23,2020-10-27,2020-11-01,"Internet",487,"LV",43,55,"MO","Missouri"
"1614","Remington Research Group",2020-10-28,2020-10-28,2020-10-29,"IVR",1010,"LV",45,50,"MO","Missouri"
"1615","Trafalgar Group",2020-08-26,2020-08-27,2020-08-28,"IVR",1015,"LV",41,52,"MO","Missouri"
"1616","Mason-Dixon Polling & Strategy",2020-02-26,2020-02-27,2020-02-28,"Live Phone",625,"RV",41,56,"MS","Mississippi"
"1617","Millsaps College/Chism Strategies",2020-04-08,2020-04-08,2020-04-09,"Live Phone",508,"LV",38,49,"MS","Mississippi"
"1618","Millsaps College/Chism Strategies",2020-06-02,2020-06-03,2020-06-04,"Live Phone",568,"LV",41,50,"MS","Mississippi"
"1619","SurveyMonkey",2020-06-08,2020-06-19,2020-06-30,"Internet",425,"LV",35,63,"MS","Mississippi"
"1620","SurveyMonkey",2020-07-01,2020-07-16,2020-07-31,"Internet",733,"LV",39,59,"MS","Mississippi"
"1621","Garin-Hart-Yang Research Group",2020-07-30,2020-08-04,2020-08-09,"Live Phone",600,"LV",43,53,"MS","Mississippi"
"1622","SurveyMonkey",2020-08-01,2020-08-16,2020-08-31,"Internet",607,"LV",36,61,"MS","Mississippi"
"1623","The Tyson Group",2020-08-28,2020-08-29,2020-08-30,"Live Phone",600,"LV",40,50,"MS","Mississippi"
"1624","SurveyMonkey",2020-09-01,2020-09-15,2020-09-30,"Internet",782,"LV",44,55,"MS","Mississippi"
"1625","SurveyMonkey",2020-09-15,2020-09-28,2020-10-12,"Internet",1063,"LV",40,58,"MS","Mississippi"
"1626","Civiqs",2020-10-23,2020-10-24,2020-10-26,"Internet",507,"LV",41,55,"MS","Mississippi"
"1627","SurveyMonkey",2020-10-20,2020-10-26,2020-11-01,"Internet",1336,"LV",37,61,"MS","Mississippi"
"1628","Data for Progress",2020-10-27,2020-10-29,2020-11-01,"Internet",562,"LV",41,55,"MS","Mississippi"
"1629","University of Montana",2019-09-26,2019-09-29,2019-10-03,"Internet",303,"RV",47,54,"MT","Montana"
"1630","University of Montana",2020-02-12,2020-02-17,2020-02-22,"Internet",498,"LV",34,56,"MT","Montana"
"1631","Montana State University Bozeman/University of Denver",2020-04-10,2020-04-18,2020-04-27,"Internet",459,"LV",40,45,"MT","Montana"
"1632","SurveyMonkey",2020-06-08,2020-06-19,2020-06-30,"Internet",166,"LV",41,57,"MT","Montana"
"1633","University of Montana",2020-06-17,2020-06-21,2020-06-26,"Internet",517,"RV",38,52,"MT","Montana"
"1634","Public Policy Polling",2020-07-09,2020-07-09,2020-07-10,"IVR",1224,"V",42,41,"MT","Montana"
"1635","Civiqs",2020-07-11,2020-07-12,2020-07-13,"Internet",873,"RV",45,49,"MT","Montana"
"1636","SurveyMonkey",2020-07-01,2020-07-16,2020-07-31,"Internet",527,"LV",44,53,"MT","Montana"
"1637","Public Policy Polling",2020-07-23,2020-07-23,2020-07-24,"IVR",917,"V",45,50,"MT","Montana"
"1638","Emerson College",2020-07-31,2020-08-01,2020-08-02,"IVR",584,"LV",46,54,"MT","Montana"
"1639","SurveyMonkey",2020-08-01,2020-08-16,2020-08-31,"Internet",1939,"LV",46,52,"MT","Montana"
"1640","Fabrizio Ward/Hart Research Associates",2020-08-30,2020-09-02,2020-09-05,"Live Phone",800,"LV",43,50,"MT","Montana"
"1641","Siena College/The New York Times Upshot",2020-09-14,2020-09-15,2020-09-16,"Live Phone",625,"LV",42,49,"MT","Montana"
"1642","SurveyMonkey",2020-09-01,2020-09-15,2020-09-30,"Internet",480,"LV",41,57,"MT","Montana"
"1643","Montana State University Bozeman",2020-09-14,2020-09-23,2020-10-02,"Internet",1615,"LV",44,51,"MT","Montana"
"1644","SurveyMonkey",2020-09-15,2020-09-28,2020-10-12,"Internet",706,"LV",41,57,"MT","Montana"
"1645","Data for Progress",2020-09-30,2020-10-02,2020-10-05,"Internet",737,"LV",43,49,"MT","Montana"
"1646","Emerson College",2020-10-05,2020-10-06,2020-10-07,"IVR/Internet",500,"LV",44,56,"MT","Montana"
"1647","Public Policy Polling",2020-10-09,2020-10-09,2020-10-10,"IVR",798,"V",46,52,"MT","Montana"
"1648","RMG Research",2020-10-15,2020-10-16,2020-10-18,"IVR/Internet",800,"LV",46,50,"MT","Montana"
"1649","Strategies 360",2020-10-15,2020-10-17,2020-10-20,"Internet/Live Phone",500,"LV",43,51,"MT","Montana"
"1650","Siena College/The New York Times Upshot",2020-10-18,2020-10-19,2020-10-20,"Live Phone",758,"LV",43,49,"MT","Montana"
"1651","Montana State University Billings",2020-10-19,2020-10-21,2020-10-24,"Live Phone",546,"LV",45,52,"MT","Montana"
"1652","SurveyMonkey",2020-10-20,2020-10-26,2020-11-01,"Internet",957,"LV",46,52,"MT","Montana"
"1653","Public Policy Polling",2020-10-26,2020-10-26,2020-10-27,"IVR",886,"V",47,49,"MT","Montana"
"1654","Change Research",2020-10-29,2020-10-31,2020-11-02,"Internet",920,"LV",45,50,"MT","Montana"
"1655","Expedition Strategies",2020-08-22,2020-08-24,2020-08-27,"Live Phone",400,"LV",44,48,"MT","Montana"
"1656","Public Policy Polling",2019-01-04,2019-01-05,2019-01-07,"IVR/Internet",750,"RV",49,44,"NC","North Carolina"
"1657","Harper Polling",2019-02-11,2019-02-12,2019-02-13,"Live Phone",500,"LV",39,43,"NC","North Carolina"
"1658","Public Policy Polling",2019-06-17,2019-06-17,2019-06-18,"IVR/Internet",610,"RV",49,46,"NC","North Carolina"
"1659","Fabrizio Ward",2019-07-29,2019-07-30,2019-07-31,"Live Phone",600,"LV",49,45,"NC","North Carolina"
"1660","Harper Polling",2019-08-01,2019-08-02,2019-08-04,"Live Phone",500,"LV",44,45,"NC","North Carolina"
"1661","SurveyUSA",2019-08-01,2019-08-03,2019-08-05,"Internet",2113,"RV",49,41,"NC","North Carolina"
"1662","Meredith College",2019-09-29,2019-10-03,2019-10-07,"Internet/Live Phone",998,"RV",35,38,"NC","North Carolina"
"1663","Public Policy Polling",2019-10-04,2019-10-05,2019-10-06,"IVR",963,"V",51,46,"NC","North Carolina"
"1664","East Carolina University",2019-10-02,2019-10-05,2019-10-09,"IVR/Internet",1076,"RV",50,46,"NC","North Carolina"
"1665","Siena College/The New York Times Upshot",2019-10-13,2019-10-19,2019-10-26,"Live Phone",651,"LV",46,48,"NC","North Carolina"
"1666","Siena College/The New York Times Upshot",2019-10-13,2019-10-19,2019-10-26,"Live Phone",651,"RV",46,48,"NC","North Carolina"
"1667","Fox News",2019-11-10,2019-11-11,2019-11-13,"Live Phone",1504,"RV",45,43,"NC","North Carolina"
"1668","Emerson College",2019-05-31,2019-12-01,2020-06-03,"IVR/Internet",932,"RV",56,44,"NC","North Carolina"
"1669","SurveyUSA",2020-02-13,2020-02-14,2020-02-16,"Internet",2366,"RV",49,45,"NC","North Carolina"
